Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   6175.17     0.00      143     0.00     0.00  __mod_clm_time_manager_MOD_is_end_curr_day
  0.00   6175.17     0.00      127     0.00     0.00  __mod_ncstream_MOD_add_varatts
  0.00   6175.17     0.00      127     0.00     0.00  __mod_ncstream_MOD_add_variable
  0.00   6175.17     0.00      127     0.00     0.00  __mod_ncstream_MOD_outstream_addvar
  0.00   6175.17     0.00      125     0.00     0.00  __mod_memutil_MOD_assignp2d_d
  0.00   6175.17     0.00      124     0.00     0.00  __mod_ncstream_MOD_dimlist
  0.00   6175.17     0.00      123     0.00     0.00  __mod_zita_MOD_zitasigma
  0.00   6175.17     0.00      117     0.00     0.00  __mod_clm_nchelper_MOD_clm_readvar_real8_1d
  0.00   6175.17     0.00      114     0.00     0.00  __mod_memutil_MOD_assignp3d_d
  0.00   6175.17     0.00       94     0.00     0.00  __mod_mppparam_MOD_bcast_real8
  0.00   6175.17     0.00       83     0.00     0.00  __mod_zita_MOD_sigmazita
  0.00   6175.17     0.00       77     0.00     0.00  __mod_mppparam_MOD_bcast_int4
  0.00   6175.17     0.00       73     0.00     0.00  __mod_nchelper_MOD_checkncerr
  0.00   6175.17     0.00       67     0.00     0.00  __mod_ncout_MOD_setup_var_2d
  0.00   6175.17     0.00       64     0.00     0.00  __mod_clm_urban_MOD_urbansnowalbedo
  0.00   6175.17     0.00       55     0.00     0.00  __mod_savefile_MOD_savedefvar.constprop.1
  0.00   6175.17     0.00       53     0.00     0.00  __mod_mppparam_MOD_bcast_logical
  0.00   6175.17     0.00       50     0.00     0.00  __mod_date_MOD_check_cal
  0.00   6175.17     0.00       49     0.00     0.00  __mod_rad_interface_MOD_radiation
  0.00   6175.17     0.00       37     0.00     0.00  __mod_mppparam_MOD_real8_2d_distribute
  0.00   6175.17     0.00       36     0.00     0.00  __mod_mppparam_MOD_real8_3d_distribute
  0.00   6175.17     0.00       34     0.00     0.00  __mod_clm_nchelper_MOD_clm_adddim
  0.00   6175.17     0.00       33     0.00     0.00  __mod_date_MOD_tochar10
  0.00   6175.17     0.00       33     0.00     0.00  __mod_date_MOD_toint10
  0.00   6175.17     0.00       28     0.00     0.00  __mod_memutil_MOD_getmem1d_i
  0.00   6175.17     0.00       28     0.00     0.00  __mod_ncout_MOD_setup_var_3d
  0.00   6175.17     0.00       28     0.00     0.00  __mod_space_MOD_getspc1d_iarr
  0.00   6175.17     0.00       27     0.00     0.00  __mod_mppparam_MOD_bcast_arr_character
  0.00   6175.17     0.00       27     0.00     0.00  __mod_timer_MOD_nowstring
  0.00   6175.17     0.00       26     0.00     0.00  __mod_savefile_MOD_myputvar2dd.constprop.3
  0.00   6175.17     0.00       25     0.00     0.00  __mod_savefile_MOD_myputvar3dd.constprop.7
  0.00   6175.17     0.00       24     0.00     0.00  __mod_clm_nchelper_MOD_clm_addatt_text
  0.00   6175.17     0.00       24     0.00     0.00  __mod_date_MOD_tochar
  0.00   6175.17     0.00       23     0.00     0.00  __mod_date_MOD_initfromtypeit
  0.00   6175.17     0.00       22     0.00     0.00  __mod_ncstream_MOD_add_dimension
  0.00   6175.17     0.00       22     0.00     0.00  __mod_space_MOD_getspc4d_r8arr
